low,high
-3024.0,1964.0
-3024.0,3071.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,3071.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-3024.0,1870.0
-3024.0,3002.0
-1000.0,2976.0
-3024.0,3071.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,3071.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,3071.0
-1000.0,3071.0
-1000.0,2976.0
-1000.0,3071.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,3071.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,3071.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,2976.0
-1000.0,3071.0
-1000.0,2976.0
-3024.0,1902.0
-1000.0,2976.0
-3024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,2991.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3070.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3070.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3007.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,2999.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,2947.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,2688.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-1024.0,2976.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,1856.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,1695.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,2940.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,2669.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,1997.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,2759.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,2007.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,2037.0
-3024.0,13137.0
-3024.0,2028.0
-3024.0,2030.0
-3348.0,22355.0
-7029.0,23152.0
-16989.0,31743.0
-4718.0,31743.0
-7751.0,30244.0
-3024.0,2076.0
-3915.0,21505.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,2896.0
-3024.0,2479.0
-3024.0,2702.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,1738.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,3071.0
-3024.0,1840.0
-3024.0,3071.0
-3024.0,3071.0
-1024.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,1588.0
-1024.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,23568.0
-2048.0,12850.0
-2048.0,2182.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,2899.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-1000.0,2976.0
-2048.0,24335.0
-4196.0,31743.0
-2048.0,3071.0
-2048.0,3071.0
-5350.0,29175.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,28010.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-3024.0,3071.0
-2048.0,2873.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-5048.0,28586.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3022.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-4713.0,17046.0
-2048.0,3071.0
-2048.0,15471.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-5380.0,31743.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-3192.0,12395.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,30269.0
-2048.0,3071.0
-2048.0,2721.0
-16156.0,31743.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,2306.0
-2048.0,3071.0
-2048.0,3071.0
-1024.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-1024.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2712.0,15543.0
-2048.0,3071.0
-2048.0,3071.0
-1024.0,3071.0
-2791.0,17356.0
-2048.0,2959.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-1024.0,3071.0
-2048.0,3071.0
-1024.0,3071.0
-1024.0,3071.0
-2048.0,3071.0
-2048.0,2335.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,20842.0
-2048.0,2602.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3066.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,2684.0
-3024.0,3071.0
-2048.0,1921.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,19359.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-7075.0,28318.0
-2048.0,1787.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,23746.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-3620.0,20268.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,5634.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,2740.0
-3024.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
-2048.0,3071.0
